"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: compute","Param: count","Param: cpu","Param: items","Param: maxConcurrency","Param: parallelism","Param: size","Param: times","Param: work"
"io.reactivex.rxjava3.completable.CompletableRetryTest._Benchmark.benchmark_retryTimesPredicateWithMatchingPredicate","thrpt",1,1,110167.718453,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableRetryTest._Benchmark.benchmark_retryTimesPredicateWithMatchingRetryAmount","thrpt",1,1,181529.772115,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableRetryTest._Benchmark.benchmark_retryTimesPredicateWithNotMatchingRetryAmount","thrpt",1,1,181792.691817,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableRetryTest._Benchmark.benchmark_retryTimesPredicateWithZeroRetries","thrpt",1,1,352471.587062,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableRetryTest._Benchmark.benchmark_untilFalseEmpty","thrpt",1,1,5747708.040937,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableRetryTest._Benchmark.benchmark_untilFalseError","thrpt",1,1,316662.702182,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableRetryTest._Benchmark.benchmark_untilTrueEmpty","thrpt",1,1,4674448.434223,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableRetryTest._Benchmark.benchmark_untilTrueError","thrpt",1,1,507315.451517,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_ambArrayEmpty","thrpt",1,1,6239.844389,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_ambArrayOneFires","thrpt",1,1,2089.600737,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_ambArrayOneFiresError","thrpt",1,1,1793.587106,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_ambArraySecondFires","thrpt",1,1,1413.247249,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_ambArraySecondFiresError","thrpt",1,1,1094.494164,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_ambArraySingleError","thrpt",1,1,4944.096645,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_ambArraySingleNormal","thrpt",1,1,6302.117697,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_ambIterableEmpty","thrpt",1,1,4686.884815,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_ambIterableIterableThrows","thrpt",1,1,5351.492165,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_ambIterableIteratorHasNextThrows","thrpt",1,1,5255.365139,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_ambIterableIteratorNextThrows","thrpt",1,1,4588.467295,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_ambIterableIteratorNull","thrpt",1,1,3522.072679,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_ambIterableMany","thrpt",1,1,4235.893763,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_ambIterableManyOneThrows","thrpt",1,1,3919.555208,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_ambIterableOneThrows","thrpt",1,1,4010.732121,NaN,"ops/s",,,,,,,,,
